Biology padhne ka tarika kya tha?,"Pehle YouTube se theory lectures dekhe, phir Arivihan app install kiya aur Suraj Sir aur Ankush Sir ke lectures follow kiye. Process tha:
Concept → NCERT → Objective Questions (NEET prep ke liye)"
: Mushkil biological names yaad kaise karte the?,"Jo names yaad nahi hote the, unhe apne room mein walls par chipka leta tha. Sone se pehle 2-3 baar repeat karta tha — jaldi yaad ho jaate the."
Daily routine kya tha — khaaskar exam ke time?,"7:30 AM — Uthna
9:30 AM — Padhna shuru (Physics pehle, kyunki brain fresh hota tha)
10:30–11 AM — First shift khatam
Lunch ke baad — Long session till 4:00–4:30 PM
4:30–6 PM — Bahar walk, thoda break
7:00–10:00 PM — Arivihan lectures + NEET prep
Raat mein — Din bhar jo padha uska revision"
Poore saal consistent rahe ya kabhi break bhi liya?,"Nahi, poore saal consistent nahi raha. Beech beech mein thak jaata tha. Kabhi kabhi hafte bhar ke lambe breaks bhi liye — but ekdum chodha nahi, thodi normal study continue rakhi taaki rhythm na toote."
Physics kaisi lagti thi? PCB walon ko mushkil lagta hai na?,"Mujhe Physics zyada tough nahi lagti thi, concepts padhna accha lagta tha. Derivations aur theory YouTube se dekhke practice karta tha. Haan, numerical questions mein kabhi kabhi problem hoti thi — tab Arivihan ke Ask Doubt feature par upload ya type karke instant answer milta tha, kyunki raat mein teacher available nahi hote the."
Subah ki shuruaat kaise karni chahiye?,Subah 7:30 ke aas-paas uth jana chahiye aur 9:30 tak padhai shuru kar deni chahiye taaki pehla session 10:30-11 baje tak comfortably chal sake.
Revision ke liye kaun si books use karni chahiye?,NCERT book ko detail mein revise karna chahiye kyunki ye board aur competitive exams dono ke liye important hoti hai.
Physical activity kaise include karein routine mein?,"Daily routine mein thoda bahar walk karna chahiye, jaise evening break ke time, taaki fresh feel karein."
Kabhi motivation kam ho to kaise handle karein?,Motivation kam hone par chhote breaks lein lekin padhai ko completely na chhod kar thoda continue rakhein.
Daily kitne ghante padhai karni chahiye?,"Daily 3-4 ghante padhai ka ek session rakhna chahiye, jaise subah aur shaam ke sessions mein."
