Exam_Type,Class,language,Subject,Chapter_Name,chapter_number,Question,Question type,Marks,Year,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electrostatic Potential and Capacitance,2,<p>Q. Two point charges each of \( q \) are placed at a separation of \( 2a \) the electric potential at their midpoint will be: (i) Zero (ii) \( \frac{q}{2\pi \varepsilon_0 a} \) (iii) \( \frac{q}{8\pi \varepsilon_0 a} \) (iv) \( \frac{q}{2\pi \varepsilon_0 a^2} \)</p>,Multiple Choice Question,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electric Charges and Fields,1,<p>Q. Unit of specific resistance is: (i) ohm (ii) ohm\(^{-1}\) (iii) ohm metre (iv) ohm\(^{-1}\) metre\(^{-1}\)</p>,Multiple Choice Question,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Current Electricity,3,<p>Q. For measuring the current in a circuit the instrument used is: (i) Voltmeter (ii) Ammeter (iii) Galvanometer (iv) Voltameter</p>,Multiple Choice Question,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Alternating Current,7,<p>Q. The device which converts the mechanical energy in to electric energy is: (i) D.C. motor (ii) a.c. dynamo (iii) transformer (iv) starter</p>,Multiple Choice Question,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electromagnetic Waves,8,<p>Q. The ozonosphere absorbs the: (i) visible light (ii) microwaves (iii) Infrared radiations (iv) ultraviolet radiations</p>,Multiple Choice Question,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Ray Optics and Optical Instruments,9,<p>Q. The distance from pole of spherical mirror to its focus is called _____ of that mirror.</p>,Fill in the Blanks,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Wave Optics,10,<p>Q. Resolving limit of a healthy eye is ____.</p>,Fill in the Blanks,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Dual Nature of Radiation and Matter,11,<p>Q. 1 eV = _____ Joule.</p>,Fill in the Blanks,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. The use of zener diode is as ____.</p>,Fill in the Blanks,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Wave Optics,10,<p>Q. The frequency of optical waves is of the order of ____.</p>,Fill in the Blanks,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. How is a P-type semi conductor formed?</p>,Very Short Answer,2,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. Write down the relation between \( \alpha \) & \( \beta \) related to amplifier.</p>,Very Short Answer,2,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electromagnetic Waves,8,<p>Q. Who invented the television transmission?</p>,One Word Answer,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electrostatic Potential and Capacitance,2,<p>Q. Write the S.I. unit of capacity.</p>,One Word Answer,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electromagnetic Waves,8,<p>Q. Write the name of the radiations of shortest and longest wavelength in the electromagnetic spectrum.</p>,One Word Answer,1,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Ray Optics and Optical Instruments,9,<p>Q. What is reflection? Write the laws of reflection.</p>,Long Answer,5,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Ray Optics and Optical Instruments,9,<p>Q. What is meant by magnification of a lens? Write its expression.</p>,Short Answer,3,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Dual Nature of Radiation and Matter,11,<p>Q. What is photoelectric effect?</p>,Short Answer,3,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Dual Nature of Radiation and Matter,11,<p>Q. What are de-Broglie waves? Establish the de-Broglie wavelength equation.</p>,Short Answer,3,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Wave Optics,10,<p>Q. What is meant by 'LASER'? State its two uses.</p>,Short Answer,3,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Moving Charges and Magnetism,4,"<p>Q. State Biot-Savart's law?</p>
<p>Q. Define the unit of current.</p>",Short Answer,3,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Moving Charges and Magnetism,4,<p>Q. Derive expression for the intensity of magnetic field at a point in end on position due to a short bar magnet.</p>,Short Answer,3,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electromagnetic Induction,6,<p>Q. Derive expression for the self inductance of a solenoid. What factors affect it?</p>,Long Answer,5,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Alternating Current,7,<p>Q. Obtain expression for an a.c. circuit \( P_{\text{av}} = V_{\text{rms}} \times I_{\text{rms}} \cos \phi \)</p>,Short Answer,3,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electromagnetic Waves,8,<p>Q. A T.V. antenna is of height \( h \) metre. Show that it can be used to transmit the signal up to the distance \( d = \sqrt{2hR} \) on the earth surface where \( R \) is the radius of earth.</p>,Short Answer,3,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Wave Optics,10,<p>Q. Write down four differences between interference and diffraction.</p>,Long Answer,5,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Ray Optics and Optical Instruments,9,<p>Q. Describe the astronomical telescope on the basis of the following points: (i) Labelled ray diagram (ii) Derivation of formula for magnifying power when final image is formed at the least distance of distinct vision.</p>,Long Answer,5,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Ray Optics and Optical Instruments,9,<p>Q. Describe the compound microscope on the following headings: (i) Labelled ray diagram of formation of image. (ii) Magnifying power when final image is formed at least distance of distinct vision.</p>,Long Answer,5,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,"semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. Differentiate analog signal and digital signal with diagrams.</p>,Short Answer,3,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. What is light emitting diode (LED)? Explain its working principle and state factors on which the colour of light emitted by it depends.</p>,Long Answer,5,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electrostatic Potential and Capacitance,2,<p>Q. Describe Van-de Graaff generator under the following points: (i) Labelled diagram (ii) Principle (iii) Uses (any two) (iv) Disadvantage</p>,Long Answer,5,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electric Charges and Fields,1,<p>Q. Prove that the electric potential at a point in broad side on position due to an electric dipole is zero.</p>,Very Short Answer,2,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electromagnetic Induction,6,<p>Q. The self inductance of two coils P and S are \(L_1\) and \(L_2\). The coupling between them is ideal. Show that the mutual inductance between these coils is \(M=\sqrt{L_1 L_2}\).</p>,Short Answer,3,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Alternating Current,7,<p>Q. Deduce expressions for the resultant potential difference impedance and current in a L-R alternating circuit. Draw graph to show the phase difference between the current and voltage.</p>,Long Answer,5,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. Explain the use of P-N junction diode as full wave rectifier on the basis of the following points. (i) Labelled circuit diagram (ii) Working method (iii) Graph between input and output potential with the variation of time.</p>,Long Answer,5,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. How will you obtain OR AND gates from the NAND and NOR gates? Write symbol Boolean formula and truth table.</p>,Short Answer,3,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Current Electricity,3,<p>Q. Describe experiment to compare the e.m.f.'s of two Cells by potentiometer under the following headings: (i) circuit diagram (ii) formula (iii) observation table (iv) two precautions.</p>,Long Answer,5,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Current Electricity,3,<p>Q. With the help of Kirchhoff's Law explain the wheatstone's bridge principle.</p>,Short Answer,3,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Ray Optics and Optical Instruments,9,<p>Q. Establish the refraction formula for a thin lens: \(\frac{1}{f} = (\mu - 1)\left(\frac{1}{R_1} - \frac{1}{R_2}\right)\)</p>,Short Answer,3,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Ray Optics and Optical Instruments,9,<p>Q. Describe the displacement method to determine focal length of Convex Lens under the following headings: (i) ray diagram (ii) formula derivation (iii) Why the distance between two pins should be greater than \(4f\)?</p>,Long Answer,5,2016,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. Optical Detector is : (i) Diode Laser (ii) Laser (iii) LED (iv) Photo Diode</p>,Multiple Choice Question,1,2017,,,,,,,,,,,,,,,,
